ZIP,churches
 ,207
39,1
43,1
53,1
130,1
164,1
601,3
602,6
603,1
606,4
612,2
623,2
624,2
627,2
631,1
637,2
638,2
641,6
656,2
659,1
660,1
662,4
667,2
670,1
674,2
677,1
678,1
680,6
682,1
683,4
685,4
687,3
692,2
693,2
698,3
703,1
705,2
707,1
717,1
718,2
719,2
720,1
723,1
725,5
728,1
730,3
731,4
736,4
751,1
754,1
766,2
772,1
777,1
780,1
782,3
783,1
784,1
791,1
794,1
901,20
907,2
911,2
913,2
921,1
924,1
926,1
927,1
949,1
953,1
956,3
961,1
962,1
969,3
976,1
979,1
1001,7
1002,10
1003,1
1005,3
1007,3
1008,1
1010,1
1011,1
1013,7
1020,14
1027,3
1028,7
1030,7
1033,3
1035,4
1036,1
1038,1
1039,1
1040,17
1050,2
1054,2
1056,8
1057,3
1060,6
1062,2
1063,1
1068,1
1069,3
1072,2
1075,11
1077,4
1081,1
1082,6
1085,15
1088,1
1089,23
1095,5
1103,4
1104,8
1105,12
1106,4
1107,10
1108,11
1109,37
1118,8
1119,6
1129,1
1151,5
1201,30
1220,7
1222,1
1223,1
1225,1
1226,4
1230,9
1237,3
1238,3
1240,4
1245,2
1247,8
1258,1
1259,1
1262,3
1266,1
1267,11
1301,14
1330,1
1331,9
1337,2
1339,1
1340,1
1341,2
1342,1
1351,1
1355,2
1360,4
1364,6
1366,3
1368,1
1370,4
1376,2
1378,1
1420,33
1430,3
1431,1
1432,6
1434,1
1436,2
1440,10
1450,6
1451,4
1452,2
1453,11
1460,5
1462,4
1463,3
1464,3
1468,1
1469,2
1473,3
1474,1
1475,1
1501,9
1503,2
1504,2
1506,2
1507,2
1510,11
1515,2
1516,2
1518,1
1519,2
1520,5
1521,1
1522,1
1523,3
1524,2
1527,6
1531,1
1532,7
1534,2
1535,3
1536,3
1537,1
1540,2
1541,2
1542,1
1543,2
1545,5
1550,10
1560,2
1562,2
1564,3
1566,4
1568,1
1569,4
1570,9
1571,2
1581,7
1583,4
1585,2
1588,7
1590,3
1602,9
1603,7
1604,7
1605,11
1606,10
1607,5
1608,1
1609,10
1610,8
1611,2
1612,1
1701,9
1702,16
1719,1
1720,11
1721,1
1730,4
1740,3
1741,2
1742,4
1746,5
1747,4
1748,7
1749,7
1752,13
1754,6
1756,3
1757,13
1760,13
1770,3
1772,5
1773,2
1776,11
1778,3
1801,10
1803,11
1810,9
1821,3
1824,7
1826,5
1827,1
1830,10
1832,1
1833,3
1834,1
1835,1
1840,4
1841,4
1843,2
1844,6
1845,1
1850,4
1851,9
1852,24
1854,11
1862,1
1863,2
1864,1
1876,1
1879,3
1880,5
1886,5
1887,4
1890,14
1901,1
1902,12
1904,3
1905,5
1906,4
1907,3
1913,1
1915,8
1921,1
1922,3
1923,6
1929,1
1930,8
1938,1
1940,2
1944,3
1945,4
1950,5
1952,2
1960,4
1966,2
1969,1
1970,6
1982,2
1984,2
1985,1
2019,4
2021,3
2025,6
2026,8
2030,4
2032,2
2035,10
2038,9
2043,5
2045,4
2048,1
2050,5
2052,3
2053,2
2054,2
2056,3
2061,2
2062,7
2066,1
2067,8
2072,5
2081,4
2090,4
2093,4
2108,6
2109,3
2110,2
2111,2
2113,3
2114,5
2115,3
2116,24
2118,6
2119,3
2120,3
2121,4
2122,1
2124,4
2126,8
2127,4
2128,4
2129,7
2130,8
2131,5
2132,3
2134,5
2135,8
2138,15
2139,28
2140,6
2141,5
2143,8
2144,6
2145,6
2148,18
2149,12
2150,6
2151,3
2152,1
2155,17
2169,19
2170,9
2171,4
2176,22
2180,7
2184,10
2186,14
2188,3
2189,4
2190,6
2191,3
2215,9
2301,25
2302,6
2324,7
2330,7
2332,6
2333,4
2338,2
2339,4
2341,2
2343,4
2346,12
2347,4
2351,4
2359,7
2360,12
2364,6
2367,3
2368,4
2370,6
2375,1
2379,5
2382,2
2420,4
2421,7
2445,16
2446,25
2458,8
2459,9
2460,3
2461,3
2464,1
2465,5
2466,3
2467,7
2468,2
2472,19
2474,4
2476,8
2478,13
2481,4
2482,4
2492,8
2493,9
2494,3
2535,1
2536,3
2537,1
2539,5
2540,4
2554,13
2559,1
2563,1
2568,9
2571,9
2576,2
2601,4
2630,1
2631,4
2635,1
2645,1
2649,1
2655,1
2657,3
2666,1
2667,2
2668,1
2702,1
2719,1
2720,4
2721,9
2723,2
2724,3
2738,4
2739,3
2740,2
2743,1
2745,3
2747,1
2748,3
2760,1
2762,2
2766,1
2767,2
2769,2
2770,2
2771,1
2780,3
2790,4
2804,8
2806,10
2807,3
2809,10
2813,6
2814,4
2815,1
2817,2
2818,6
2822,3
2825,2
2827,2
2828,2
2830,3
2831,2
2832,3
2835,5
2837,4
2840,27
2842,8
2852,10
2857,4
2859,3
2860,24
2861,4
2863,7
2864,15
2865,13
2871,4
2874,2
2878,6
2879,8
2881,3
2882,3
2885,14
2886,9
2888,6
2889,6
2891,10
2892,4
2893,8
2895,15
2903,13
2904,12
2905,33
2906,29
2907,35
2908,19
2909,25
2910,5
2911,7
2912,1
2914,5
2915,4
2916,5
2917,3
2919,9
2920,10
2921,2
3031,6
3032,2
3033,1
3034,2
3036,1
3038,11
3042,1
3043,2
3045,6
3046,1
3047,1
3048,3
3049,3
3051,12
3052,1
3053,6
3054,4
3055,7
3057,1
3060,13
3062,3
3063,2
3064,16
3071,3
3076,8
3079,10
3084,1
3086,4
3087,5
3101,1
3102,13
3103,23
3104,26
3106,4
3109,3
3110,2
3216,2
3217,5
3218,2
3220,3
3221,2
3222,2
3223,2
3226,1
3227,4
3229,3
3230,1
3234,3
3235,6
3237,2
3240,1
3241,1
3242,2
3243,2
3244,4
3246,22
3249,2
3251,2
3253,5
3254,1
3255,4
3256,2
3257,5
3258,2
3259,1
3261,4
3262,2
3263,3
3264,2
3266,2
3268,2
3269,1
3275,4
3276,7
3278,2
3279,2
3280,3
3281,2
3282,2
3287,2
3290,1
3301,28
3303,5
3304,1
3307,2
3431,19
3441,1
3442,1
3443,2
3444,1
3445,1
3446,5
3448,1
3449,1
3450,2
3451,2
3452,1
3455,3
3456,1
3457,2
3458,3
3461,1
3462,1
3464,1
3465,3
3466,1
3467,1
3470,5
3561,4
3570,13
3574,5
3576,2
3580,2
3581,5
3582,2
3583,3
3584,3
3585,5
3586,2
3588,2
3598,4
3602,7
3603,2
3605,2
3608,1
3740,1
3743,6
3745,2
3748,1
3752,1
3753,1
3755,4
3765,1
3766,3
3768,1
3771,2
3773,5
3774,3
3777,1
3780,1
3781,1
3782,1
3784,4
3785,1
3801,17
3809,4
3811,1
3812,1
3815,1
3818,4
3819,1
3820,14
3823,1
3824,6
3825,5
3827,2
3833,10
3835,1
3836,2
3837,1
3840,1
3841,2
3842,8
3844,1
3846,1
3848,1
3849,1
3854,1
3855,2
3856,1
3857,2
3858,4
3860,4
3862,2
3865,2
3867,18
3868,3
3870,3
3872,4
3873,2
3874,4
3878,4
3885,2
3890,1
3894,7
3901,2
3902,4
3903,6
3904,2
3905,2
3906,4
3907,3
3908,3
3909,7
4001,1
4002,2
4005,11
4008,1
4009,2
4010,1
4011,15
4015,2
4021,3
4022,1
4027,1
4029,1
4030,2
4032,4
4037,6
4038,10
4039,1
4040,2
4042,4
4043,14
4046,8
4047,1
4049,1
4051,1
4055,1
4061,1
4062,8
4064,5
4066,1
4068,1
4071,4
4072,8
4073,7
4074,10
4076,1
4079,3
4083,2
4084,4
4086,4
4087,1
4088,1
4090,4
4092,13
4093,6
4096,8
4097,1
4101,23
4102,14
4103,29
4105,6
4106,14
4107,5
4110,1
4210,21
4216,3
4217,5
4219,2
4220,2
4221,3
4222,3
4224,3
4231,2
4236,3
4238,1
4239,1
4240,21
4252,4
4253,1
4254,2
4256,4
4257,5
4260,2
4263,1
4267,1
4268,7
4270,8
4274,4
4276,8
4280,2
4281,6
4282,2
4287,1
4289,4
4292,1
4294,4
4330,4
4342,2
4348,4
4350,1
4353,1
4354,1
4357,6
4360,1
4401,36
4406,1
4410,1
4411,2
4412,8
4416,3
4418,2
4419,1
4421,3
4422,2
4424,2
4426,7
4428,2
4429,3
4430,3
4435,2
4441,1
4443,4
4444,6
4448,2
4449,1
4455,2
4456,3
4457,9
4459,2
4460,1
4461,1
4462,6
4463,1
4464,1
4468,9
4471,3
4473,8
4474,1
4475,1
4476,2
4478,1
4479,1
4481,1
4487,2
4488,2
4493,2
4496,1
4497,1
4530,13
4535,3
4538,8
4539,3
4543,2
4544,1
4548,1
4551,1
4553,3
4555,1
4556,1
4562,2
4568,1
4572,4
4573,1
4574,1
4576,2
4578,4
4579,3
4605,19
4606,1
4607,3
4609,18
4614,1
4615,1
4616,2
4619,11
4623,1
4626,1
4630,1
4631,3
4634,6
4640,1
4643,3
4650,1
