ZIP,colleges
,0
601,3
602,2
603,2
612,6
623,1
637,2
638,1
641,1
646,1
650,1
653,1
662,2
664,3
667,1
674,4
680,10
683,1
685,4
687,1
692,2
693,1
698,2
705,1
714,1
716,1
717,4
725,15
728,1
729,1
730,9
736,1
738,7
751,1
754,1
757,1
767,1
769,1
773,1
777,1
784,3
791,5
795,1
901,5
907,5
909,5
912,1
915,4
917,8
918,11
920,8
921,5
923,4
924,2
925,10
926,10
927,1
949,7
953,1
956,3
957,2
959,5
961,11
962,1
966,2
968,1
969,4
976,5
982,1
985,5
1002,3
1003,1
1013,3
1040,1
1060,2
1063,1
1075,3
1085,1
1104,1
1105,3
1106,1
1108,1
1109,3
1119,1
1201,3
1230,3
1238,1
1247,2
1267,2
1301,4
1331,1
1364,1
1379,1
1420,4
1434,1
1440,1
1453,1
1523,2
1524,1
1536,1
1543,1
1545,1
1566,1
1571,1
1581,1
1602,2
1603,1
1605,2
1606,4
1608,1
1609,4
1610,3
1612,2
1701,1
1702,5
1721,1
1730,1
1731,1
1742,2
1752,1
1772,2
1776,1
1801,2
1803,2
1810,1
1830,2
1833,1
1835,1
1844,1
1845,1
1852,3
1854,5
1867,1
1880,1
1905,2
1906,1
1908,1
1915,6
1923,1
1960,1
1970,2
1982,1
1984,1
2021,3
2026,2
2038,3
2067,2
2108,2
2109,2
2110,1
2111,3
2115,15
2116,7
2118,2
2120,3
2121,1
2122,1
2124,2
2125,1
2127,1
2128,2
2129,3
2130,3
2132,1
2135,2
2138,30
2139,3
2141,1
2142,2
2148,2
2150,1
2155,3
2169,4
2170,1
2171,1
2184,3
2186,2
2188,1
2215,7
2302,3
2324,1
2343,1
2346,1
2357,1
2360,1
2375,2
2379,1
2420,2
2445,2
2446,5
2452,2
2453,1
2458,4
2459,2
2465,1
2466,1
2467,2
2472,1
2478,1
2481,2
2482,1
2492,1
2493,2
2494,1
2540,3
2554,1
2563,1
2571,1
2645,2
2664,1
2668,1
2703,2
2721,1
2740,3
2745,1
2747,2
2763,1
2766,3
2809,1
2817,1
2818,1
2840,2
2841,1
2842,1
2852,1
2865,1
2881,2
2886,3
2889,1
2903,5
2905,2
2906,5
2908,4
2909,1
2910,1
2911,1
2912,1
2914,1
2917,1
2918,1
2919,1
2920,1
3038,2
3045,1
3052,1
3060,1
3063,4
3076,1
3079,1
3087,1
3101,6
3102,1
3103,3
3104,2
3220,1
3242,4
3244,1
3246,2
3257,1
3264,1
3278,1
3301,6
3431,4
3461,1
3561,1
3570,1
3743,2
3755,5
3766,3
3784,2
3801,4
3824,4
3833,3
3860,2
3867,1
3904,1
4005,1
4011,2
4038,2
4039,1
4042,1
4043,1
4062,1
4068,1
4074,1
4083,1
4084,1
4085,1
4086,1
4092,1
4101,1
4102,2
4103,5
4105,1
4106,4
4210,2
4240,6
4254,1
4257,1
4268,1
4270,1
4280,2
4330,3
4345,1
4401,4
4426,1
4427,1
4457,1
4468,1
4473,3
4530,4
4538,1
4605,2
4609,1
4619,1
4631,1
4654,2
4730,1
4736,2
4756,1
4769,3
4785,1
4841,1
4901,3
4915,2
4937,1
4938,8
4976,1
5001,2
5061,1
5068,1
5156,2
5201,2
5257,1
5301,3
5346,1
5363,1
5401,6
5404,1
5443,1
5446,3
5478,1
5602,1
5641,2
5676,1
5701,4
5735,1
5751,1
5753,2
5819,1
5855,1
6002,1
6010,1
6032,4
6037,1
6040,1
6051,2
6053,2
6062,1
6066,1
6078,2
6082,2
6096,1
6098,2
6103,1
6105,7
6106,1
6109,1
6112,3
6117,1
6118,1
6226,2
6239,4
6242,1
6269,1
6320,5
6340,2
6360,2
6379,1
6405,1
6410,1
6416,1
6419,1
6450,1
6457,4
6459,1
6468,1
6475,1
6477,1
6484,1
6489,3
6492,1
6510,10
6511,23
6512,2
6514,7
6516,2
6518,2
6519,2
6604,3
6606,1
6610,1
6702,1
6705,1
6708,3
6759,1
6790,1
6807,1
6810,5
6811,1
6824,1
6825,1
6830,2
6851,1
6854,3
6880,1
6902,3
6907,2
7001,1
7002,3
7003,3
7004,2
7006,5
7008,2
7009,2
7011,6
7013,1
7014,3
7016,3
7017,1
7018,1
7020,1
7024,2
7026,2
7029,1
7030,5
7031,1
7036,2
7039,2
7040,3
7041,1
7042,2
7043,1
7044,1
7047,4
7050,3
7052,7
7054,3
7055,4
