ZIP,govOffices
 ,26
650,1
784,1
907,1
911,1
912,1
918,3
921,1
923,1
925,1
949,1
962,1
1001,7
1002,7
1005,1
1007,4
1011,2
1013,10
1020,11
1022,2
1026,1
1027,7
1028,1
1030,1
1033,1
1035,3
1036,1
1038,2
1040,15
1050,1
1057,2
1060,17
1062,1
1069,1
1070,1
1071,1
1072,1
1073,1
1075,2
1077,4
1082,2
1085,12
1089,1
1095,5
1096,3
1103,17
1104,15
1105,4
1106,2
1107,4
1108,6
1109,13
1118,4
1119,4
1128,1
1129,3
1201,25
1220,5
1225,1
1230,9
1238,2
1240,3
1247,10
1253,1
1255,1
1266,1
1267,2
1301,11
1330,1
1331,3
1337,2
1340,1
1341,2
1349,1
1351,3
1354,1
1355,2
1364,8
1367,1
1368,1
1370,3
1375,1
1376,1
1378,3
1379,1
1420,9
1430,1
1431,1
1432,3
1434,2
1436,3
1440,6
1450,2
1451,2
1452,2
1453,8
1460,3
1462,2
1463,4
1464,3
1468,1
1469,4
1473,2
1475,5
1501,5
1503,1
1504,3
1505,2
1506,1
1507,1
1510,6
1516,1
1518,1
1520,2
1523,3
1524,3
1527,6
1529,1
1531,4
1532,2
1534,2
1535,3
1536,1
1540,1
1543,1
1545,5
1550,6
1562,2
1564,1
1566,2
1568,1
1569,2
1570,5
1581,9
1583,5
1585,2
1588,4
1590,4
1602,4
1603,2
1604,5
1605,10
1606,3
1608,20
1609,6
1610,3
1612,1
1701,5
1702,16
1719,3
1720,3
1721,4
1730,1
1740,2
1741,2
1742,8
1746,2
1747,3
1748,2
1749,2
1752,4
1754,2
1757,6
1760,7
1770,1
1772,2
1775,1
1776,3
1778,5
1801,3
1803,6
1810,6
1821,2
1824,3
1826,5
1830,5
1833,4
1834,1
1840,10
1841,3
1843,4
1844,9
1845,7
1850,1
1851,5
1852,9
1860,3
1863,1
1864,1
1867,3
1876,7
1879,2
1880,5
1886,5
1887,6
1890,3
1901,3
1902,6
1904,5
1905,4
1906,7
1907,1
1908,1
1913,7
1915,8
1921,3
1923,9
1929,1
1930,8
1938,9
1940,1
1944,1
1945,3
1949,2
1950,9
1951,1
1960,6
1966,4
1969,1
1970,14
1982,1
1983,1
1984,2
1985,3
2019,4
2021,2
2025,3
2026,7
2030,2
2035,4
2038,3
2043,7
2045,7
2048,4
2052,3
2053,3
2054,3
2056,3
2061,2
2062,6
2066,5
2067,2
2072,5
2081,1
2090,4
2093,2
2108,24
2109,8
2110,5
2111,11
2114,20
2115,2
2116,7
2118,16
2119,7
2120,2
2121,1
2122,4
2124,3
2125,2
2126,1
2127,3
2128,3
2129,4
2130,4
2131,1
2134,3
2135,7
2136,2
2138,3
2139,12
2140,1
2141,5
2142,2
2143,3
2144,3
2145,5
2148,6
2149,2
2150,8
2151,5
2152,5
2155,6
2169,10
2170,1
2171,2
2176,2
2180,6
2184,6
2186,10
2188,2
2191,1
2210,6
2215,2
2301,27
2302,9
2322,2
2324,7
2330,3
2332,5
2333,3
2339,5
