ZIP,hospitals
 ,39
2,1
601,1
602,1
603,3
610,1
612,5
660,2
662,1
667,1
669,2
674,4
676,1
677,1
680,4
682,2
683,1
685,1
687,1
693,1
698,1
714,3
717,3
718,1
720,1
725,5
727,1
730,4
736,1
738,1
739,2
751,1
767,1
769,1
771,1
777,1
783,1
784,3
791,5
901,2
907,3
909,5
912,1
915,1
917,1
918,2
920,1
921,6
923,1
927,1
956,1
959,2
961,2
962,1
966,1
985,1
1003,1
1020,1
1040,3
1053,1
1056,2
1057,2
1060,1
1062,1
1069,2
1082,1
1085,2
1104,2
1105,1
1107,1
1109,1
1201,3
1220,2
1230,1
1247,1
1262,1
1301,1
1331,2
1376,1
1420,1
1430,1
1432,2
1440,2
1453,1
1475,1
1505,2
1510,2
1520,1
1536,1
1543,2
1545,4
1550,1
1570,1
1581,3
1588,1
1602,1
1604,2
1605,5
1610,1
1702,4
1730,1
1741,1
1742,1
1752,1
1757,1
1760,3
1801,4
1803,1
1810,1
1830,3
1833,1
1841,3
1844,2
1852,2
1854,2
1862,1
1876,1
1887,1
1890,1
1904,2
1905,1
1906,1
1913,2
1915,1
1923,2
1930,1
1938,1
1945,1
1950,1
1960,2
1970,3
2021,1
2035,1
2052,1
2056,2
2062,1
2072,3
2090,1
2114,5
2115,10
2116,1
2118,4
2119,1
2120,1
2124,2
2126,2
2130,4
2132,1
2134,2
2135,4
2138,7
2139,6
2141,1
2143,7
2144,1
2148,1
2149,2
2150,2
2151,1
2152,2
2155,3
2169,3
2171,1
2176,1
2180,1
2184,2
2186,1
2190,1
2215,4
2301,4
2302,1
2324,1
2341,1
2346,1
2347,1
2359,1
2360,1
2445,1
2446,1
2452,4
2453,1
2462,1
2467,2
2474,2
2478,2
2482,3
2492,2
2540,1
2554,2
2559,1
2568,1
2571,1
2601,1
2703,3
2720,4
2721,1
2740,1
2745,2
2748,1
2780,4
2809,1
2818,1
2832,1
2840,2
2852,2
2859,1
2860,1
2863,1
2879,2
2886,2
2891,1
2895,1
2896,3
2903,3
2905,1
2906,2
2907,1
2908,4
2911,2
2915,1
2918,1
2920,2
3038,2
3045,1
3047,1
3060,2
3063,3
3079,1
3102,2
3103,2
3104,1
3109,1
3110,1
3235,1
3246,5
3251,1
3257,1
3264,1
3301,4
3431,2
3444,1
3458,1
3561,1
3570,1
3576,1
3584,1
3598,1
3743,1
3766,2
3773,1
3785,2
3801,2
3820,1
3833,2
3841,1
3860,1
3867,1
3874,1
3894,1
3909,1
4005,6
4009,1
4011,4
4032,1
4043,1
4073,1
4092,2
4102,3
4103,3
4238,1
4240,2
4254,1
4260,1
4268,1
4274,1
4276,1
4330,3
4401,9
4421,1
4426,1
4441,1
4457,1
4462,1
4538,1
4543,1
4605,2
4609,4
4615,1
4619,2
4654,1
4679,1
4730,1
4736,1
4742,1
4743,1
4758,1
4769,1
4785,1
4841,1
4843,1
4847,1
4856,1
4863,1
4901,3
4915,1
4937,1
4938,1
4967,1
4976,1
5001,1
5060,1
5089,1
5091,1
5101,1
5156,1
5201,1
5255,2
5301,2
5342,1
5353,1
5401,1
5405,1
5446,1
5478,1
5602,1
5641,1
5661,2
5676,1
5701,3
5753,1
5763,1
5819,2
5855,1
6010,1
6018,1
6032,3
6040,2
6052,1
6053,2
6066,1
6067,1
6069,1
6071,2
6105,1
6106,3
6111,3
6112,2
6114,1
6117,1
6119,1
6226,1
6234,1
6250,1
6259,1
6260,2
6320,1
6333,1
6340,1
6360,2
6405,1
6418,1
6450,1
6451,2
6457,5
6460,2
6470,1
6480,2
6484,4
6489,1
6492,3
6511,7
6516,1
6517,1
6519,7
6605,1
6606,1
6610,2
6706,1
6708,2
6751,1
6770,1
6776,1
6790,3
6810,1
6830,2
6831,1
6840,1
6850,1
6851,1
6880,1
6902,2
7002,1
7006,1
7009,1
7016,1
7018,2
7028,1
7030,2
7032,1
7039,3
7042,1
7047,1
7050,1
7052,1
7055,3
7060,1
7065,2
7083,1
7086,1
7092,1
7094,3
7102,1
7103,1
7105,1
7106,1
7107,3
7109,2
7111,1
7112,2
7201,2
7202,1
7302,1
7304,2
7306,1
7444,1
7450,2
7461,1
7470,3
7481,1
7501,1
7503,1
7504,1
7508,1
7601,1
7631,1
7644,1
7666,1
7675,1
7701,1
7719,1
7728,2
7731,1
7733,1
7740,1
7746,1
7753,1
7801,2
7834,1
7840,1
7860,1
7901,2
7920,1
7922,1
7934,1
7950,1
7960,3
8002,1
8003,1
8009,1
8012,1
8015,2
8016,1
8037,2
8043,1
8050,1
8060,1
8075,1
8079,1
8080,1
8084,1
8096,1
8103,4
8104,1
8205,3
8210,1
8244,1
8302,1
8318,1
8360,2
8401,1
8505,1
8540,3
8542,1
8609,1
8611,1
8618,2
8638,1
8648,2
8690,1
8701,1
8721,1
8724,1
8731,1
8742,1
8753,1
8755,1
8805,1
8820,1
8822,1
8826,2
8837,1
8844,2
8854,1
8857,1
8863,1
8865,1
8876,1
8879,1
8901,2
10002,1
10003,9
10009,1
10010,1
10011,3
10016,3
10019,1
10021,6
10023,1
10024,2
10025,2
10026,1
10027,3
10029,6
10031,1
10032,11
10033,1
10034,1
10035,3
10037,1
10038,1
10040,2
10044,3
10128,1
10301,2
10304,1
10305,3
10309,1
10310,1
10451,3
10452,2
10453,3
10454,2
10455,2
10456,4
10457,9
10458,2
10459,2
10460,1
10461,12
10462,1
10463,1
10466,1
10467,2
10468,2
10469,1
10472,2
10473,2
10474,2
10507,1
10512,1
10514,1
10516,1
10522,1
10524,1
10532,1
10536,1
10543,1
10548,1
10549,1
10550,2
10562,2
10567,1
10573,1
10580,1
10591,1
10595,2
10601,1
10605,1
10701,4
10703,2
10704,1
10708,1
10710,1
10901,2
10924,2
10940,3
10950,1
10960,1
10962,3
10977,1
10987,1
10990,2
10993,1
10996,1
11005,9
11030,3
11102,2
11201,3
11203,9
11204,1
11205,1
11206,2
11207,2
11209,1
11212,3
11213,4
11214,1
11215,1
11216,1
11217,3
11219,1
11220,1
11221,2
11222,1
11224,2
11226,2
11229,2
11231,1
11233,2
11234,2
11235,1
11236,1
11237,1
11238,2
11355,2
11360,1
11373,2
11375,1
11414,1
11418,1
11423,1
11426,3
11432,1
11501,1
11520,1
11542,1
11552,1
11554,1
11557,1
11561,4
11570,1
11572,1
11576,1
11580,1
11691,1
11701,2
11706,1
11714,1
11717,2
11743,1
11747,1
11768,1
11772,1
11777,2
11787,2
11790,1
11791,1
11795,1
11797,1
11803,1
11901,1
11944,1
11951,1
11968,1
12010,3
12043,2
12078,1
12095,1
12180,3
12198,1
12202,2
12203,1
12204,1
12208,3
12210,1
12302,1
12304,1
12307,1
12308,1
12309,1
12401,2
12414,1
12428,1
12455,1
12518,1
12534,2
12550,1
12553,1
12572,1
12590,1
12601,3
12701,2
12734,1
12754,2
12771,1
12801,1
12804,1
12866,1
12883,1
12901,1
12932,1
12946,2
12953,2
12983,1
13021,4
13026,1
13032,1
13045,2
13088,1
13126,2
13148,2
13165,1
13202,1
13203,1
13208,1
13210,8
13215,3
13323,1
13326,1
13346,1
13365,1
13367,1
13403,1
13413,1
13421,2
13440,2
13454,1
13501,3
13502,2
13601,1
13602,1
13607,1
13619,1
13642,1
13662,1
13669,2
13676,1
13690,1
13743,1
13753,1
13790,1
13811,1
13815,1
13820,4
13827,1
13838,1
13856,1
13903,1
13904,1
13905,2
14020,2
14048,1
14081,1
14086,1
14092,1
