ZIP,museums
,0
612,1
623,1
638,1
646,1
680,2
683,1
716,1
717,1
725,2
727,1
730,2
901,10
907,4
911,1
912,2
917,2
918,11
920,5
921,2
925,1
926,3
927,2
956,1
959,1
965,1
966,1
969,1
976,1
982,1
1001,1
1002,7
1007,1
1008,1
1011,2
1013,2
1027,2
1028,3
1033,2
1035,2
1036,1
1040,9
1056,1
1057,3
1060,10
1062,1
1075,3
1077,1
1080,1
1085,1
1089,4
1095,2
1098,1
1103,8
1104,1
1105,4
1106,1
1108,2
1151,4
1201,7
1220,1
1223,2
1226,1
1230,6
1238,1
1240,9
1247,6
1255,1
1257,1
1262,2
1266,1
1267,5
1301,5
1330,1
1337,1
1342,3
1364,1
1366,1
1370,5
1420,5
1432,1
1434,2
1440,2
1450,4
1451,1
1460,1
1462,1
1463,2
1469,1
1473,1
1475,1
1501,2
1504,1
1510,3
1518,1
1520,2
1523,1
1531,1
1536,1
1543,2
1545,3
1550,1
1562,1
1566,3
1568,1
1581,2
1583,2
1585,1
1602,1
1604,2
1605,2
1606,1
1609,6
1701,3
1702,5
1720,6
1721,1
1730,3
1740,1
1742,8
1746,2
1748,1
1749,4
1752,2
1754,1
1756,1
1757,1
1760,4
1772,1
1773,3
1775,1
1776,4
1778,1
1801,2
1810,4
1821,1
1824,2
1826,1
1830,1
1833,1
1840,1
1844,1
1845,4
1852,11
1854,1
1864,1
1886,2
1887,1
1890,3
1901,4
1902,2
1906,2
1907,2
1908,1
1913,2
1915,4
1922,1
1923,2
1929,3
1930,20
1938,6
1940,1
1944,2
1945,3
1949,1
1950,9
1951,1
1952,1
1960,1
1966,30
1969,1
1970,21
1982,2
1984,1
1985,1
2021,3
2025,3
2026,3
2030,1
2035,1
2038,2
2043,6
2045,1
2048,2
2050,2
2052,3
2053,2
2061,2
2062,1
2066,4
2067,1
2072,3
2090,1
2093,1
2108,7
2109,3
2110,2
2111,3
2113,4
2114,11
2115,9
2116,39
2118,24
2119,4
2121,3
2122,2
2124,1
2125,5
2127,3
2128,4
2129,4
2130,5
2131,2
2132,2
2134,2
2136,3
2138,9
2139,6
2140,1
2141,5
2143,6
2144,1
2148,3
2150,2
2151,1
2152,1
2155,3
2163,1
2169,8
2170,1
2176,2
2180,2
2184,3
2186,4
2189,1
2190,2
2210,9
2215,2
2301,2
2322,1
2332,6
2339,1
2346,1
2356,3
2359,2
2360,12
2364,1
2367,1
2368,4
2370,1
2379,1
2420,3
2421,3
2445,7
2446,6
2452,1
2453,5
2458,4
2459,3
2460,2
2461,1
2464,1
2466,1
2467,3
2468,1
2472,5
2474,3
2476,3
2478,2
2481,1
2482,3
2492,2
2493,2
2494,2
2532,7
2535,1
2537,6
2539,12
2540,7
2543,2
2554,25
2556,1
2563,5
2568,8
2571,1
2601,9
2630,2
2631,8
2632,1
2633,14
2635,2
2638,2
2639,2
2642,1
2645,2
2646,3
2649,7
2653,10
2655,3
2657,49
2659,2
2664,3
2667,4
2668,3
2675,1
2703,3
2720,6
2721,4
2725,1
2726,1
2738,3
2739,1
