ZIP,schools
 ,237
41,1
43,6
54,1
125,1
133,1
135,2
151,2
157,1
601,10
602,17
603,3
606,2
610,8
612,14
617,5
623,12
624,5
627,4
631,3
637,11
638,3
641,6
647,1
653,2
656,13
659,3
660,1
662,2
664,6
667,10
669,2
670,3
674,10
676,8
677,9
678,2
680,7
682,5
683,16
685,1
687,6
692,4
693,7
698,27
703,14
704,3
705,2
707,2
714,3
715,1
716,5
717,14
718,5
719,5
720,3
723,5
725,21
727,3
728,1
729,8
730,7
731,14
735,2
736,6
738,2
739,3
745,11
754,16
766,3
767,9
769,6
771,13
773,1
777,10
778,8
780,2
782,6
783,5
784,9
791,18
794,5
795,8
901,10
907,7
909,12
911,3
912,2
913,2
915,12
917,2
918,6
920,12
921,10
923,7
924,9
925,2
926,13
927,1
949,7
952,5
953,6
956,11
957,5
959,11
961,8
962,9
965,1
966,2
968,1
969,17
976,6
979,1
982,1
983,3
985,3
987,4
1001,7
1002,14
1003,1
1005,5
1007,6
1008,2
1010,1
1011,1
1013,13
1020,13
1022,3
1026,3
1027,14
1028,9
1030,3
1031,2
1033,4
1034,2
1035,2
1036,2
1038,3
1039,1
1040,26
1050,2
1053,1
1054,6
1056,8
1057,4
1060,18
1062,6
1063,3
1068,1
1069,4
1071,1
1072,2
1073,1
1075,10
1077,6
1080,2
1081,1
1082,6
1085,25
1089,16
1092,1
1095,10
1096,4
1098,1
1103,3
1104,15
1105,14
1106,11
1107,7
1108,9
1109,27
1118,10
1119,6
1129,3
1151,7
1201,29
1220,8
1223,3
1225,3
1226,5
1230,13
1235,1
1237,2
1238,4
1240,12
1243,1
1245,1
1247,10
1254,1
1255,1
1256,1
1257,2
1262,2
1266,6
1267,7
1270,1
1301,17
1331,10
1337,2
1339,2
1340,1
1342,5
1344,1
1349,2
1351,2
1354,2
1360,4
1364,5
1366,3
1367,1
1368,2
1370,3
1373,4
1376,10
1378,2
1379,2
1420,30
1430,4
1431,2
1432,9
1434,2
1436,4
1440,12
1450,14
1451,1
1452,1
1453,17
1460,7
1462,6
1463,6
1464,4
1468,4
1469,8
1473,3
1474,1
1475,7
1501,9
1503,1
1504,5
1505,2
1506,2
1507,3
1510,15
1515,3
1516,6
1518,2
1519,1
1520,11
1521,1
1522,1
1523,15
1524,6
1527,8
1529,1
1531,5
1532,9
1535,3
1536,4
1540,5
1541,3
1543,3
1545,15
1550,12
1560,3
1562,6
1564,3
1566,2
1568,3
1569,4
1570,6
1571,7
1581,14
1583,5
1585,2
1588,6
1590,4
1602,15
1603,12
1604,21
1605,15
1606,15
1607,2
1608,1
1609,12
1610,15
1611,2
1612,2
1701,24
1702,23
1719,1
1720,6
1721,7
1730,8
1731,3
1740,7
1741,3
1742,17
1745,1
1746,9
1747,7
1748,7
1749,23
1752,19
1754,4
1756,3
1757,15
1760,21
1770,2
1772,9
1773,4
1775,8
1776,12
1778,8
1801,17
1803,8
1810,18
1821,12
1824,12
1826,10
1827,1
1830,16
1832,8
1833,4
1834,3
1835,7
1840,4
1841,25
1843,10
1844,26
1845,10
1850,6
1851,11
1852,28
1854,15
1860,3
1862,5
1863,5
1864,7
1867,14
1876,15
1879,12
1880,23
1886,10
1887,10
1890,17
1901,2
1902,17
1904,12
1905,13
1906,11
1907,10
1908,3
1913,9
1915,27
1921,3
1922,3
1923,18
1929,2
1930,18
1938,11
1940,8
1944,2
1945,11
1949,3
1950,11
1951,3
1952,2
1960,20
1966,2
1969,4
1970,25
1982,6
1983,4
1984,3
1985,4
2019,10
2021,17
2025,5
2026,18
2030,8
2032,4
2035,14
2038,12
2043,14
2045,3
2048,9
2050,9
2052,6
2053,5
2054,5
2056,4
2061,6
