ZIP,shoppingCenters
,0
680,1
683,1
716,1
717,1
725,1
729,1
918,1
926,1
959,1
961,1
968,1
983,1
1035,2
1040,2
1085,1
1089,2
1104,1
1106,1
1118,1
1129,1
1201,2
1238,1
1240,1
1420,1
1453,3
1501,1
1510,1
1527,1
1545,1
1566,2
1570,1
1581,1
1604,2
1605,1
1606,1
1608,1
1701,3
1720,1
1752,1
1757,1
1760,2
1776,1
1801,1
1803,2
1821,1
1830,1
1844,1
1886,1
1906,1
1907,1
1915,1
1923,2
1950,1
1960,1
1970,2
2019,2
2021,1
2026,2
2032,1
2038,1
2050,1
2090,1
2093,1
2108,1
2109,1
2116,2
2125,1
2138,1
2141,1
2143,1
2145,1
2149,1
2150,1
2151,1
2155,1
2180,1
2184,1
2199,2
2301,1
2302,1
2339,1
2359,1
2364,1
2467,4
2472,2
2482,1
2532,1
2538,1
2540,1
2601,3
2632,1
2649,2
2660,1
2718,1
2721,2
2747,2
2760,2
2771,3
2777,1
2828,1
2840,1
2860,1
2865,1
2881,1
2886,3
2889,2
2891,1
2895,2
2903,1
2908,1
2914,1
2917,1
2920,1
3060,3
3063,1
3079,2
3103,1
3106,1
3264,1
3276,1
3301,1
3431,2
3784,2
3801,3
3860,1
3865,1
3867,1
3904,2
3909,1
4011,1
4074,1
4086,1
4106,2
4210,2
4330,2
4401,2
4769,1
4901,1
5401,1
5403,1
5452,1
5478,1
5602,1
5701,1
6002,1
6010,3
6032,1
6033,1
6040,4
6062,1
6066,1
6082,3
6107,1
6108,1
6110,1
6118,1
6241,1
6250,1
6320,1
6340,1
6351,1
6355,1
6360,1
6371,1
6385,1
6401,1
6413,1
6416,2
6418,1
6450,2
6451,1
6457,1
6460,2
6468,1
6470,1
6475,1
6477,1
6488,1
6492,1
6498,1
6514,2
6515,1
6611,1
6614,1
6702,1
6704,1
6706,1
6716,1
6770,1
6790,2
6810,2
6820,2
6824,1
6830,1
6854,1
6880,1
6901,1
6905,3
7002,1
7006,2
7008,1
7012,1
7014,1
7018,1
7020,1
7036,1
7039,3
7052,1
7069,2
7078,1
7080,2
7081,1
7094,3
7095,1
7102,1
7201,1
7304,1
7310,1
